Month,Year,Data
January,2008,1392
February,2008,1031
March,2008,1301
April,2008,1420
May,2008,1574
June,2008,1587
July,2008,1731
August,2008,1743
September,2008,1473
October,2008,1422
November,2008,1229
December,2008,1138
January,2009,1140
February,2009,973
March,2009,1139
April,2009,1303
May,2009,1495
June,2009,1338
July,2009,1463
August,2009,1592
September,2009,1531
October,2009,1531
November,2009,1439
December,2009,1244
January,2010,1173
February,2010,942
March,2010,1122
April,2010,1281
May,2010,1391
June,2010,1625
July,2010,1636
August,2010,1635
September,2010,1539
October,2010,1476
November,2010,1256
December,2010,1144
January,2011,1082
February,2011,798
March,2011,1075
April,2011,1260
May,2011,1350
June,2011,1359
July,2011,1583
August,2011,1644
September,2011,1562
October,2011,1451
November,2011,1454
December,2011,1357
January,2012,1206
February,2012,928
March,2012,1162
April,2012,1254
May,2012,1301
June,2012,1162
July,2012,1435
August,2012,1510
September,2012,1328
October,2012,1324
November,2012,1180
December,2012,1201
January,2013,1047
February,2013,852
March,2013,1066
April,2013,1098
May,2013,1156
June,2013,1254
July,2013,1401
August,2013,1318
September,2013,1272
October,2013,1229
November,2013,1034
December,2013,1100
January,2014,1077
February,2014,814
March,2014,926
April,2014,1106
May,2014,1306
June,2014,1277
July,2014,1222
August,2014,1400
September,2014,1235
October,2014,1226
November,2014,976
December,2014,1179
January,2015,976
February,2015,619
March,2015,763
April,2015,901
May,2015,1031
June,2015,1095
July,2015,1292
August,2015,1235
September,2015,1090
October,2015,1187
November,2015,1011
December,2015,1056
January,2016,914
February,2016,670
March,2016,786
April,2016,841
May,2016,987
June,2016,1075
July,2016,1227
August,2016,1320
September,2016,1035
October,2016,983
November,2016,931
December,2016,891
January,2017,785
February,2017,639
March,2017,724
April,2017,837
May,2017,900
June,2017,968
July,2017,1005
August,2017,1112
September,2017,811
October,2017,1069
November,2017,900
December,2017,795
January,2018,699
February,2018,710
